time[UT]  C01 C02 C03 C04 C05 C06 C07 C08 C09 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 
19:06:44   30  42  41  36  30  72  29  57  32  42  28  30  30  42  35  44  24  58  75  29  38  44  30  37  25  50  38  38  42 
19:06:52   31  30  34  32  30  41  42  42  32  41  44  42  47  42  44  33  31  42  30  42  72  62  58  62  58  41  42  58  38 
19:07:00   47  51  51  44  42  19  42  41  42  36  27  45  53  30  30  35  34  53  31  36  40  41  32  22  42  33  45  21  33 
19:07:08   32  37  51  44  50  44  32  43  41  42  31  50  33  28  32  32  34  41  42  40  40  58  42  35  42  63  42  32  37 
19:07:16   27  32  29  30  38  38  57  41  58  50  41  41  26  34  47  29  24  40  42  34  32  36  57  29  57  42  38  42  41 
19:07:24   50  42  42  42  32  63  37  38  42  51  50  35  51  47  47  37  32  43  38  42  34  32  45  36  25  41  50  40  51 
19:07:32   30  45  29  40  30  36  42  44  29  32  34  31  41  52  30  50  40  38  37  35  57  40  45  40  37  34  31  35  42 
19:07:40   31  29  29  29  29  29  29  29  29  29  31  31  31  31  31  31  31  31  31  29  29  29  29  29  29  29  29  29  31 
19:07:48    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
19:07:56    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
19:08:04    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
19:08:12    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
19:08:20    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
19:08:28    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
19:08:36    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
19:08:44    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
